algoritmo,tamano,distribucion,repeticion,tiempo_ms,promedio_ms,fecha_hora
Quick Sort,100,Aleatorio,1,0.08,0.077,11/21/2025 22:56
Quick Sort,100,Aleatorio,2,0.077,0.077,11/21/2025 22:56
Quick Sort,100,Aleatorio,3,0.074,0.077,11/21/2025 22:56
Quick Sort,50000,Aleatorio,1,77.455,76.427,11/21/2025 22:56
Quick Sort,50000,Aleatorio,2,72.483,76.427,11/21/2025 22:56
Quick Sort,50000,Aleatorio,3,79.343,76.427,11/21/2025 22:56
Quick Sort,200000,Aleatorio,1,313.203,317.786,11/21/2025 22:56
Quick Sort,200000,Aleatorio,2,321.795,317.786,11/21/2025 22:56
Quick Sort,200000,Aleatorio,3,318.359,317.786,11/21/2025 22:56
Heap Sort,100,Aleatorio,1,0.14,0.137,11/21/2025 22:56
Heap Sort,100,Aleatorio,2,0.135,0.137,11/21/2025 22:56
Heap Sort,100,Aleatorio,3,0.136,0.137,11/21/2025 22:56
Heap Sort,50000,Aleatorio,1,253.665,226.649,11/21/2025 22:56
Heap Sort,50000,Aleatorio,2,240.053,226.649,11/21/2025 22:56
Heap Sort,50000,Aleatorio,3,186.229,226.649,11/21/2025 22:56
Heap Sort,200000,Aleatorio,1,1059.92,1031.952,11/21/2025 22:56
Heap Sort,200000,Aleatorio,2,1031.79,1031.952,11/21/2025 22:56
Heap Sort,200000,Aleatorio,3,1004.145,1031.952,11/21/2025 22:56
Merge Sort,100,Aleatorio,1,0.245,0.217,11/21/2025 22:57
Merge Sort,100,Aleatorio,2,0.211,0.217,11/21/2025 22:57
Merge Sort,100,Aleatorio,3,0.196,0.217,11/21/2025 22:57
Merge Sort,50000,Aleatorio,1,154.886,149.554,11/21/2025 22:57
Merge Sort,50000,Aleatorio,2,143.359,149.554,11/21/2025 22:57
Merge Sort,50000,Aleatorio,3,150.415,149.554,11/21/2025 22:57
Merge Sort,200000,Aleatorio,1,635.993,650.747,11/21/2025 22:57
Merge Sort,200000,Aleatorio,2,666.765,650.747,11/21/2025 22:57
Merge Sort,200000,Aleatorio,3,649.484,650.747,11/21/2025 22:57
Selection Sort,100,Aleatorio,1,0.301,0.305,11/21/2025 22:57
Selection Sort,100,Aleatorio,2,0.286,0.305,11/21/2025 22:57
Selection Sort,100,Aleatorio,3,0.328,0.305,11/21/2025 22:57
Selection Sort,50000,Aleatorio,1,52416.833,53378.287,11/21/2025 22:57
Selection Sort,50000,Aleatorio,2,52187.849,53378.287,11/21/2025 22:57
Selection Sort,50000,Aleatorio,3,55530.18,53378.287,11/21/2025 22:57
Selection Sort,200000,Aleatorio,1,1021853.814,,11/21/2025 22:57
Selection Sort,200000,Aleatorio,2,1027919.142,,11/21/2025 22:57
Insertion Sort,100,Aleatorio,1,0.38,0.322,11/21/2025 23:37
Insertion Sort,100,Aleatorio,2,0.323,0.322,11/21/2025 23:37
Insertion Sort,100,Aleatorio,3,0.262,0.322,11/21/2025 23:37
Insertion Sort,50000,Aleatorio,1,55789.733,55307.214,11/21/2025 23:37
Insertion Sort,50000,Aleatorio,2,54939.154,55307.214,11/21/2025 23:37
Insertion Sort,50000,Aleatorio,3,55192.754,55307.214,11/21/2025 23:37
Insertion Sort,200000,Aleatorio,1,1136816.374,,11/21/2025 23:37
Insertion Sort,200000,Aleatorio,2,1154999.345,,11/21/2025 23:37
Bubble Sort,100,Aleatorio,1,0.503,0.492,11/22/2025 8:56
Bubble Sort,100,Aleatorio,2,0.5,0.492,11/22/2025 8:56
Bubble Sort,100,Aleatorio,3,0.472,0.492,11/22/2025 8:56
Bubble Sort,50000,Aleatorio,1,137245.333,127500.469,11/22/2025 8:56
Bubble Sort,50000,Aleatorio,2,122153.12,127500.469,11/22/2025 8:56
Bubble Sort,50000,Aleatorio,3,123102.954,127500.469,11/22/2025 8:56
Bubble Sort,200000,Aleatorio,1,2734892.517,,No determinable
Bubble Sort,200000,Aleatorio,2,2689441.90,,No determinable
